,1,2,3,4,5,6,7,8,9,10,,link
1979-06-15,SI,FOOT,SW,SF,SP2,SH,SP,SWLF,NIDRV,SWLF2,,https://archive.org/details/play-meter-volume-5-number-11-june-15th-1979/page/46/mode/2up
1979-07-15,SI,FOOT,SP2,SF,SH,SW,NIDRV,SWLF,VIDPIN,LEMANS,,https://archive.org/details/play-meter-volume-5-number-13-july-15th-1979/page/56/mode/2up
1979-08-15,SI,FOOT,SP2,SW,SF,HO,SWLF,SH,Breakout,BASK,,https://archive.org/details/play-meter-volume-5-number-15-august-15th-1979/page/36/mode/2up
1979-09-15,SI,FOOT,SP2,HO,SF,SW,BASK,SH,CRASH,SWLF,,https://archive.org/details/play-meter-volume-5-number-17-september-15th-1979/page/34/mode/2up
1979-10-15,,,,SF,,,,,,BASK,,https://archive.org/details/play-meter-volume-5-number-19-october-15th-1979/page/20/mode/2up
1979-10-15,SI,FOOT,SP2,HO,,SW,,,CRASH,SWLF,,
1979-11-15,SI,SP2,FOOT,HO,SW,SF,CRASH,LL,SWLF,BASK,,https://archive.org/details/play-meter-volume-5-number-21-november-15th-1979/page/70/mode/2up
1979-12-15,,,,LL,,,,,,,,
1979-12-15,SI,FOOT,SP2,HO,,SF,SW,,SWLF,CRASH,,
1980-01-15,,,HO,,,,,,,,,
1980-01-15,SI,FOOT,SP2,,LL,SW,SF,CRASH,SH,SWLF,,https://archive.org/details/play-meter-volume-6-number-1-january-15th-1980/page/36/mode/2up?q=poll
1980-02-15,,,,,,,,,,,,
1980-03-15,SI,FOOT,AST,SP2,LL,SW,SF,HO,TG,BASK,,https://archive.org/details/play-meter-volume-6-number-5-march-15th-1980/page/26/mode/2up?q=poll
1980-04-15,SI,AST,FOOT,TG,SP2,HO,SF,LL,COSG,CLAY,,https://archive.org/details/play-meter-volume-6-number-7-april-15th-1980/page/28/mode/2up?q=poll
1980-05-15,SI,AST,FOOT,SP2,TG,SW,LL,SF,HO,COSG,,https://archive.org/details/play-meter-volume-6-number-9-may-15th-1980/page/72/mode/2up?q=poll
1980-06-15,SI,AST,GLX,FOOT,SP2,TG,HO,SW,LL,COSG,,https://archive.org/details/play-meter-volume-6-number-11-june-15th-1980/page/54/mode/2up?q=poll
1980-07-15,AST,SI,GLX,FOOT,SP2,TG,SW,MGP,HO,SWLF,,https://archive.org/details/play-meter-volume-6-number-13-july-15th-1980/page/n29/mode/2up?q=poll
1980-08-15,AST,GLX,SI,AF,RO,MGP,FOOT,SP2,HO,TG,,https://archive.org/details/play-meter-volume-6-number-15-august-15th-1980/page/26/mode/2up?q=poll
1980-09-15,AST,GLX,SI,AF,MGP,RO,COSA,SP2,FOOT,HO,,https://archive.org/details/play-meter-volume-6-number-17-september-15th-1980/page/30/mode/2up?q=poll
1980-10-15,AST,GLX,SI,AF,MGP,RO,SP2,TARG,FOOT,TG2,,https://archive.org/details/play-meter-volume-6-number-19-october-15th-1980/Play%20Meter%20-%20Volume%206%2C%20Number%2019%20-%20October%2015th%201980%20%28Compressed%29/page/24/mode/2up?q=poll
